row,Movie Name,Genre,Plot
1012 ,Legends of the Mid-South Wrestling ,action,"Legends of the Mid-South Wrestling  :  Mid-South was one of the hottest wrestling promotions of the 1980s where future stars such as Shawn Michaels, Jake Roberts, Ted DiBiase, Junkyard Dog and Hacksaw Duggan began their careers. Consider some of the best talent with personas that blurred the lines between good and evil. This 3-disc compilation features the biggest matches and biggest stories of the Mid-South promotion and provides a look into early the careers of some of wrestling's greatest legends."
1041 ,Best of Severe Offroad ,sport,"Best of Severe Offroad  :  Severe Racing Films offers up the best sequences from their collection of past off-road films. The new film is an intense thrill ride into the sport of off-road racing, filmed at spectacular races all over the western U.S. and Mexico. This film features insane action from trucks, bikes, buggies, ATVs, UTVs and more. Severe Racing has previously released 4 off-road movies and this is the best from Scott A. Tugel, the producer, director and cinematographer. Scott has captured this sport beautifully, putting himself near the path of these powerful machines as they come tearing past. Severe Racing takes you through every turn and every jump. With this kind of action, viewers really get the feel of what it is like to be riding and racing with some of the hottest racers in off-road racing today."
1054 ,"""Road to the NHL Outdoor Classics"" ",sport,"""Road to the NHL Outdoor Classics""  :  Go behind the scenes as the Detroit Red Wings and Toronto Maple Leafs lace 'em up for the NHL Centennial Classic, celebrating 100 years of the NHL. And get up close and personal as the Chicago Blackhawks and the St. Louis Blues get ready for the NHL Winter Classic on January 2. 2017."
1113 ,Boots and Saddles ,western,"Boots and Saddles  :  When new owner Spud arrives from England, Autry convinces him not to sell the ranch but to raise horses for the Army. When both Autry's and Neale's bids are the same, the Colonel calls for a race to decide the winner. But that night Neale has Autry's stable burned."
1166 ,Buns of Steel ,sport,"Buns of Steel  :  Sleekly defined and shapely buttocks are on every woman's list of goals, yet the buttocks, thighs and upper legs are problem spots even for the most dedicated fitness enthusiasts. Buns of Steel was created to change all that. Buns of Steel is devoted to strengthening, tightening, toning and shaping the buttocks (buns), thighs and upper legs. Through a grueling but effective series of exercises following a brief aerobic warm-up, Greg Smithey, former World Class pole vaulter, leads you on the road to a tighter, sleeker lower half. Greg incorporates the lower body strengthening exercises he used to train for vaulting into his demanding, targeted routine. And once you see the remarkable results, the hard work will be worth the effort! Greg Smithey has a B.A. in physical education, M.A. in education and is certified by the IDEA Foundation as a dance instructor. This video will definitely help you to get the results you've always desired...quickly and easily."
1229 ,"""Sn̼car Beo: The Northern Ireland Trophy"" ",sport,"""Sn̼car Beo: The Northern Ireland Trophy""  :  Live coverage of The Northern Ireland Snooker Trophy in which 32 of the world's top ranked players compete at the Waterfront Hall in Belfast. With interviews and analysis from snooker legends including Ronnie O'Sullivan, Steve Davis, Terry Griffiths, Ken Doherty, Steven Hendry and John Higgins."
1248 ,WWE: Rey Mysterio - The Life of a Masked Man ,action,"WWE: Rey Mysterio - The Life of a Masked Man  :  For the first time ever, Rey Mysterio, perhaps the greatest high flyer in the annals of sports entertainment, sits down and discusses his historic career in never-before-seen interviews. Mysterio shares his thoughts on his relationship with Eddie Guerrero, his WWE arrival, his ascent to World Champion, the future, and more."
1305 ,Wessyngton Plantation: A Family's Road to Freedom ,history,"Wessyngton Plantation: A Family's Road to Freedom  :  In 1796, Joseph Washington, a distant relative of our first president, purchased sixty acres in Middle Tennessee for tobacco farming. Eventually covering 13,000 acres, Wessyngton Plantation would thrive off the blood, sweat and tears of hundreds of African Americans. Unlike other plantations only two slaves were ever sold from Wessyngton, resulting in several generations of enslaved family members living and laboring together. As a child, Author John F. Baker Jr. was mysteriously drawn to a photo of Robertson County slaves in his middle school textbook. When his grandmother explained that he was looking at his great-grandparents, he became obsessed with their story. In 2008 his book ""The Washington's of Wessyngton Plantation"" was released. The culmination of more than thirty years of research, it details the lives of hundreds of his family members. Baker spent decades combing through countless family and state archives, researching birth and death records, and conducting dozens of interviews with relatives and historians. Wessyngton Plantation: A Family's Road to Freedom brings to life this deeply moving story of pain and perseverance."
1328 ,The Vengeance Trail ,western,"The Vengeance Trail  :  Rambunctious cowboy Big Boy Bronson's antics get under his father's skin, and ranch hands Larson and Powell's efforts to make him look bad don't help matters. Things turn serious, though, when Bronson has to prove that he's not involved with a string of cattle thefts--actually being done by Larson and Powell--and a bank robbery he was unwittingly lured into by the pair."
1364 ,The Janus Project ,action,"The Janus Project  :  The relationship of SHANE, an ex-special ops soldier, and LEXI, a gifted psychology student, is tested as supernatural forces threaten to transform reality as they know it. Targeted by this evil, an ancient secret society called The Vii, SHANE must overcome the trials of his past to embrace his true self and unlock his power."
1400 ,Robbing the Grave ,action,"Robbing the Grave  :  Master thief, Terry Sands, is double crossed by his crew and awakens in a hospice surrounded by those forgotten by society and on death's doorstep. As Terry plots his revenge against those who almost killed him, he is drawn into the world of those around him and in them finds a new crew with the most important quality he could ask for: nothing left to lose."
1402 ,You Are the One ,romance,"You Are the One  :  Sally Malasmas applies for a US visa. There she meets the young and dashing vice-consul Will Derby with a wide, warm and inviting smile. Sally feels it's her lucky day! But Will thinks Sally does not have enough ties to the Philippines that will make her come back. He denies her visa, beams one last sweet smile at her and turns his back before she could protest. It isn't Sally's lucky day anymore. Sally Malasmas is a Care Officer at the National Statistics Office. She's smart and is a genuinely caring person who always has a hand to help other people. But despite her capabilities, Sally feels insecure of her older sister Charry whom she feels her parents always favored and always outperformed her. And in love, Sally tends to be needy and clingy. Her parents and only sister have all migrated to the United States to embrace the 'American Dream'. But for Sally, the Philippines is where she wants to be. Will Derby is a dashing vice-consul from the United States Embassy in Manila. He grew up in pre-dominantly white North Dakota where very few Filipinos live. But Will is not an American. He's a Filipino adopted by an old American couple. He would have avoided being posted in the Philippines, a place he doesn't like very much, if he could. But a promise to his mother to search for his real parents made him not to. Will has always lived a life of incompleteness and unbelongingness. Even his relationships are fleeting until he meets Sally. Sally is only forced to apply for a US Visa because her sick mom who refuses to come home needs care. So for Sally, how could Mr. Derby think she's another TNT when she never ever dreamed of going to the land of milk and honey?! She is definitely insulted. And too bad she initially thought he's gorgeous. To make things worse, Will decides to finally try searching for his parents. He goes to the NSO to look for his original birth certificate. Fate plays a trick and makes Sally and Will meet again. She seeks revenge and makes him wait all afternoon for his document. But her ploy fires back as her boss catches her. Now, she's forced to help him. After giving it some thought, Sally sees the opportunity to use Will to finally get a visa. She goes out of her way to go with him to places, from the rugged Tondo to a town fiesta in Pampanga, just to find his parents. As they inch nearer and nearer to where his parents are, they also get closer and closer to each other. And after several experiences together, from getting caught by the police in a gambling house to the more intimate fiesta plaza dance, their initial attraction becomes real, though unconfessed, love. Will Mr. Derby finally discover where his real parents are? And with his posting in Manila about to end, will he find another reason to stay? Will there be a chance for Sally and Will's Love to bloom? And if there is, will they have the courage to admit it's each other that they need? You Are The One explores the insanities that comes with love, the impossibilities to be hurdled to make love happen and the self-confidence we all need to make love work."
1425 ,Triumphs of a Man Called Horse ,western,"Triumphs of a Man Called Horse  :  An Englishman, John Morgan, lives 30 years as a Sioux named Man Called Horse. In 1874, gold is discovered in the Black Hills, on tribal land guaranteed to the Sioux in the Laramie Treaty of 1868. Settlers pour in and White provocateurs try to prompt the Sioux to break the treaty (so that all-out war with the US forces will result in the land no longer being under Sioux control). They murder and make it look like Indians were responsible. Man Called Horse helps maintain calm among the tribe, but when tragedy befalls him, it's left to his son Koda and Koda's lover, a Crow named Red Wing, to devise a strategy to keep the argonauts at bay and the Black Hills sacred."
1499 ,River's Crossing ,romance,"River's Crossing  :  15 years after the death of their parents, Abigail is now living with her older sister Lydia. Odelia and Hugo were invited and flown in to train and fight in a local gym. Barber is a brawler, as well as a drummer in a band fronted by Stardust. These are lives crossing paths and media's within a story, told in an unusual manner."
1583 ,Billy the Kid in Santa Fe ,western,"Billy the Kid in Santa Fe  :  After being framed for murder, Billy escapes jail with the help of his pals Jeff and Fuzzy. They travel to Santa Fe where they meet up again with Joe Benson, the man paid by Barton to lie at Billy's trial. This time Joe is framed for murder."
1610 ,The Law Comes to Texas ,western,"The Law Comes to Texas  :  Dean, the Bailey County Judge, is the boss of both the outlaw gang and the Sheriff. He utilizes the state law that Sheriffs have jurisdiction only in their own county. After a raid the gang merely returns to the safety of Bailey County. The Governor sends Lawyer John Hayes. When he has no success as a Lawyer he leaves town only to return disguised as an outlaw with a scheme that will nab all the culprits."
1676 ,Shakedown: Return of the Sontarans ,sci-fi,"Shakedown: Return of the Sontarans  :  The space solar yacht Tiger Moth under the command of no-nonsense Captain Lisa Deranne is on a cruise taking some rich misfits on a voyage through space. Unfortunately on their travels they have picked a stowaway, a shape-changing Rutan, a race that has been at war with another race, the Sontarans, since the dawn of time. The Rutan has important news regarding the war and the Sontarans, and upon hearing the news, attack the Tiger Moth and take it over. The Rutan hides itself among the crew and one by one the Sontarans and the human crew are murdered by the Rutan. The Sontarans plan to destroy all life on the Tiger Moth. Can Lisa find out who the Rutan is before the Sontarans destroy her ship and her life?..."
1808 ,The Texas Marshal ,western,The Texas Marshal  :  Around the town of Cactus Creek a rancher has been killed and others are missing and Marshal Tim Rand has been called in. Ernest Moore has found tin ore and now holds many of the rancher's deeds. Comparing bullets leads Tim to Moore's henchman and then opening Moore's safe he finds the ore samples and the deeds. But his plan to bring in Moore and his men using Art Davis' short wave radio is thwarted when Art is captured.
1841 ,Tales of Old Edinburgh ,history,"Tales of Old Edinburgh  :  The distinctive character of Edinburgh's most historic thoroughfare is vividly brought to life on this exciting and unusual video. Our guide through the closes and wynds of the mile is Adam Lyal (deceased), hanged in the Grassmarket in 1811. Adam is now the city's most famous and charismatic ghost. He introduces us to the grandeur of the Royal Mile architecture, regales us with tales of execution, witchcraft, plague and torture. We meet intriguing characters from Edinburgh's colourful and eventful past-from John Knox to the Foule Clenger. Adam also visits the famous tattoo at the castle and soaks up the carnival atmosphere of the Edinburgh Festival."
1865 ,Empire of Danger ,sci-fi,"Empire of Danger  :  A newly designed spacecraft capable of going through time is sent to Mars to rescue a crew previously lost on Mars. The ship is sent through the past but to the wrong time, years later than the first crew. Once they land on Mars, the crew finds that it is a place where Bararians rule. The leader of the Barbarians is a female battle warrior named Giza that wants their ship to use as her own chariot through time where she hopes to steal the ancient power of the Masha. With that power, she will gain complete control"
1875 ,Behind the Action in 'Biker Boyz' ,action,"Behind the Action in 'Biker Boyz'  :  A behind the scenes look at making Reggie Rock Bythewood's film ""Biker Boyz"" featuring stunt coordination and interviews from the cast and crew of the following: Orlando Jones, Lurence Fishburne, Pokey aka Manual Galloway, Derek Luke, Anthony ""Zeke"" Settle, John Bunch, Lisa Bonet. Vanessa Bell Calloway, Megan Good, Kid Rock, Djimon Hounsou, Reggie Rock Bythewood, Don Kurt, Rick Gonzalez, Larenz Tate, Stephanie Allain, Michael Gouges, and Gina Prince-Bythewood."
1916 ,3 Minute Wonder: Made in India - The House Remembers ,history,"3 Minute Wonder: Made in India - The House Remembers  :  A filmmaker returns to the house in which he was born, a colonial bungalow in the foothills of the Himalayas. Here he uncovers the stories of the property's two previous inhabitants - a British tea plantation owner and an Indian freedom fighter."
1925 ,The Bouncer ,action,"The Bouncer  :  ""Big John,"" is LA's baddest bouncer. He's worked every type of bar on the circuit, straight, gay, biker, hillbilly...you name it. In the course of the film, he is challenged by an old nemesis, ""Iceman,"" (also a bouncer), who tells Big John he's past his prime. A challenge is issued."
2007 ,Reverse Affect ,sci-fi,"Reverse Affect  :  A man mysteriously finds himself for months constantly present for serious accidents and other tragedies where he must act as first-responder, saving many lives/resolving incidents and even starts to believe he may be becoming some sort of super hero, only to find that somehow HE is the one who has been inadvertently causing the accidents all along. But he's stubborn to believe he is the cause and continues business as usual to avoid exiling himself, which is the only way to keep the world safe from HIM."
2017 ,"""The Keepers"" ",action,"""The Keepers""  :  In 1955, a government experiment was designed to create super-humans by greatly enhancing the five senses. After it went terribly wrong, all of the subjects disappeared. Assumed dead, the program was shut down. Years later, evidence of Super-humans started to appear again and, more alarming, new and more dangerous villains. In 2000, The Hive was started to investigate and assess potential ""super activity"", try to find/recruit super-humans and do daily battle with the growing number of villains in the city. Now it's 2014 and Agents Adams and Stephens, longtime friends and partners, have put in many years at The Hive. They desire to move up into the super specialized ""Yellow Sector"", who deal directly with Super-humans and Villains on a day to day basis. After serendipitously stumbling upon a mysterious recluse who may be the key to their promotion, they find themselves in a race against time, with their reputations, their jobs, and even their lives on the line."
2030 ,Point of Deception ,action,"Point of Deception  :  When a domestic terrorist group lead by Brian Evert (Brent Gorsage) begins attacking multiple cities at once, a specially tasked FBI unit will turn to an incarcerated ex federal agent to stop them. Nick Walters (T.J. Wolf) will have to put aside his hatred for the politicians who put him in prison to cover themselves in order to stop this new threat. With the help of two FBI agents: his ex-fianc̩e Laura Young (Christene Hellmich) and her partner Ryan Llyod (Jason Mitchell), Nick must infiltrate with CIA agent Riley Kyles (Anastasiya Jayleen) the same terrorist group that he fought three years ago in order to take them down."
2043 ,The Next Corner ,romance,"The Next Corner  :  While honeymooning in Paris Elsie is rescued from attentions of a man.Her hero is Don Arturo who takes her to Countess Longueval after her husband must go for work to Argentine.When her husband returns he is shocked how have Elsie change.Elsie goes to a party in Arturos hunting lodge,where he forces himself on her.Arturo is shot by a Stranger and Elsie confesses all to her forgiving husband.Juan Serafin is found shot."
2054 ,DELTA STATE: Slipping Into the Future ,sci-fi,"DELTA STATE: Slipping Into the Future  :  While studying for his PhD presentation, computer genius Ian M. Foreman comes up with a revolutionary computer chip design that could change the world forever. Ian takes the night off to party. The next morning after suffering a migraine headache Ian wakes to find that world history is changing around him and he is the only one that notices. With the help of his nerdy roommate Samantha (Dorren Lee), Ian follows a trail of clues that leads him to the startling realization that the fate of humanity and the entire universe rests in his hands."
2104 ,The American ,western,"The American  :  Seref, who returns to his country after many years in America, as a dollar billionaire with a cowboy hat on his head, and with his Dallas-type boots has an interesting past: Twenty years ago he has lost his sweetheart Melek to his closest friend, and furthermore, has been put in prison. He found a way to escape from prison, going to America, the country of dreams. Here, he has become a businessman with boundless wealth, known as Seref The Turk. When he returns to his country as an American, even though he has some commercial aims in mind, his real desire is to take revenge. He will settle accounts with the friend who stabbed him in the back many years ago, and with Melek who is betrayed him. However, when he sets foot in Turkey with yearning, he meets 'Small America' in chaos. On top of that, while looking for Melek, he finds himself in the middle of a funny and exciting adventure where sexuality and violence mingle."
2136 ,The Wheelman ,action,"The Wheelman  :  A mute getaway driver has fallen in with the wrong heist team on the wrong day at the wrong bank. Betrayed, his money stolen, his battered carcass left for dead, he is on a one-way mission to find out who double crossed him and get back his loot. But the heist has sent a violent ripple effect through the city. And now a dirty cop, the Russian and Italian mobs, maneuver for position as this adrenaline-fueled story twists and turns its way toward its explosive conclusion."
2213 ,The Horrors of Hussein ,history,"The Horrors of Hussein  :  Although everyone was aware of the fact that Saddam Hussein was a ruthless dictator who brutalized his countrymen, it only after the 2003 invasion of Iraq that the world began to get a full glimpse of the extent of the terror apparatus that Saddam used to maintain a stranglehold on Iraq. We take a look at how Saddam Hussein grew up to be the head of a gruesome, cold-blooded killing machine, and how his brutality was transmitted to his offspring, Uday and Qusay. An interesting documentary exploring the depth of repression by one of the bloodiest tyrants of the last quarter of the 20th century."
2272 ,The Ruse of the Rattler ,western,"The Ruse of the Rattler  :  Henry Morgan advances the money to defend Bud Sanderson who is arrested for stealing cattle, in return for securing an option on the Sanderson ranch. Morgan hires ""The Rattler"" to evict the Sandersons from their ranch, but when he meets Helen Sanderson and discovers the injustice of Morgan's demands, he refuses to carry out his orders. Helen, suspecting Morgan of shady dealing, follows Bud, who has escaped from jail, to a desperadoes' hangout. The Rattler holds up the gang and forcibly carries Bud off to jail, where he will be safe. Misunderstanding The Rattler's motives, Helen sells the ranch to Morgan, who delivers false money to Helen. The Rattler pursues, and both are caught in a train wreck. Morgan, mortally injured, clears Bud, and The Rattler, though wounded, is urged to recovery by Helen's love."
2315 ,The Cost of Vengeance ,action,"The Cost of Vengeance  :  After his brother is brutally murdered by the infamous fight club champion Thug, Finley his younger brother vows to find the elusive killer and personally avenge his brother's death. But Finley's thirst for revenge jeopardizes his remaining family leading to the murders of both his mother and sister. As the violence escalates, nothing is what it seems and he must be prepared for VENGEANCE!"
2351 ,The Arbitrator ,action,"The Arbitrator  :  Martin Giles is a statistician. The only risks he ever sees are on a balance sheet. But when he's sent to Central Asia to predict the result of an election, a routine task becomes a battle for a nation's future. The Arbitrator is where Jason Bourne meets Michael Clayton: the story of a principled man who takes a stand, and has to learn to be an action hero."
2418 ,Weird Scenes Inside the Presidential Election 1984 ,fantasy,"Weird Scenes Inside the Presidential Election 1984  :  It was always Doors keyboardist Ray Manzarek's intention that, after conquering the fields of music and film, Jim Morrison would run for President. With this film we ask ""What if?"" and deliver the experience of a Presidential Debate between Jim and the sitting president, Ronald Reagan."
2493 ,Land and Live in the Jungle ,war,"Land and Live in the Jungle  :  In this World War II military training film, a B-25 crew bails out over the jungle, and the pilot is separated from the rest of of his crew. The two groups of soldiers must survive until they can meet up and be rescued. The pilot does almost everything wrong, and the rest of his crew does almost everything right. We learn, by both bad and good example, how to survive in the jungle."
2564 ,Zero Point Theory ,action,"Zero Point Theory  :  A time traveling adventure comedy that follows Randall Bentley who is forced by the evil Cerberus Corporation to go back in time to the 1920s to retrieve a lost chest of gold. Once in the '20s, Randall finds himself neck deep in trouble with mobsters who also want the gold and in way over his head with a gorgeous flapper on the run. Randall has to find away to get the gold, get the girl, and get back to his own time before his time runs out."
2590 ,The Founding of an Army ,history,"The Founding of an Army  :  In 1927, the Northern Expedition had just made significant achievements, the Kuomintang ""right"" for the seizure of the rebellion revolution, launched a crazy ""clear"" action, nearly 31 million progressive compatriots were brutally killed, shocked the country."
2597 ,Outlaws of the Panhandle ,western,Outlaws of the Panhandle  :  Jim Endicott has organized the ranchers into building a spur rail line so they can ship their cattle and avoid the rustlers. Faro Jack gets banker Potter to lend them the money and then plans to sabotage the project so he and Potter can take over all the ranches in the valley. But Jim has dealt with Faro before and he plans to see the line completed.
2655 ,Remarkable Shades of Gay ,action,"Remarkable Shades of Gay  :  Remarkable Shades of Gay is a compilation of nine short films shot by award winning LGBTQ director William Branden Blinn between 2008 and 2014. Included in the compilation are ""Thirteen or so Minutes..."" ""Chased"", ""Never or Now"", ""Without A Mom"", ""Triple Standard"", ""Toeing The Line"", ""A la Carte"", ""Truth or Dare"", and ""He She We""."
